"user_code","book_code","score","book_title"
"US000001","BC0000001",4.5,"여행의 기술"
"US000001","BC0000002",3.5,"낭만적 사랑과 사회"
"US000001","BC0000005",3,"스티브 잡스 이야기"
"US000001","BC0000009",5,"무소유"
"US000001","BC0000012",3.5,"센서티브"
"US000001","BC0000013",4,"아프니까 청춘이다"
"US000001","BC0000014",5,"공부하는 힘"
"US000001","BC0000015",3.5,"혼자 있는 시간의 힘"
"US000001","BC0000016",3.5,"미라클 모닝"
"US000001","BC0000020",4,"행복의 기원"
"US000001","BC0000022",4,"카네기 인간관계론"
"US000001","BC0000024",4.5,"가난하다고 꿈조차 가난할 수는 없다"
"US000001","BC0000026",2.5,"베르나르 베르베르의 상상력 사전"
"US000001","BC0000031",5,"살아 있는 것은 다 행복하라"
"US000001","BC0000034",3.5,"무탄트 메시지"
"US000001","BC0000035",3.5,"스물셋, 죽기로 결심하다"
"US000001","BC0000040",5,"스티브 잡스"
"US000001","BC0000041",4,"성공하는 사람들의 7가지 습관"
"US000001","BC0000042",3,"건투를 빈다"
"US000001","BC0000043",4.5,"정의란 무엇인가"
"US000001","BC0000045",4,"수레바퀴 아래서"
"US000001","BC0000047",3,"로미오와 줄리엣"
"US000001","BC0000050",4,"위대한 개츠비"
"US000001","BC0000051",4.5,"어린 왕자"
"US000001","BC0000053",4,"꾸뻬 씨의 행복 여행"
"US000001","BC0000054",3,"꾸뻬 씨의 사랑 여행"
"US000001","BC0000055",3,"릴케 시집"
"US000001","BC0000056",5,"육체의 악마"
"US000001","BC0000058",4,"플루언트"
"US000001","BC0000059",3,"기본 수학의 정석 기하 (2020년용)"
"US000001","BC0000061",4,"인생학교 | 일"
"US000001","BC0000062",4,"인생학교 | 섹스"
"US000001","BC0000063",5,"데미안"
"US000001","BC0000064",3,"탈무드"
"US000002","BC0000066",2.5,"너무 시끄러운 고독"
"US000002","BC0000068",4,"다섯째 아이"
"US000002","BC0000071",5,"영원한 제국"
"US000002","BC0000049",4,"오만과 편견"
"US000002","BC0000072",5,"헝거 게임"
"US000002","BC0000046",5,"이방인"
"US000003","BC0000075",4,"정년이"
"US000003","BC0000078",5,"가담항설"
"US000003","BC0000084",3.5,"프레임"
"US000003","BC0000086",5,"강아지똥"
"US000003","BC0000087",4,"주홍 글자"
"US000003","BC0000088",2.5,"청소부 밥"
"US000003","BC0000089",1,"시간을 달리는 소녀"
"US000003","BC0000091",5,"꽃들에게 희망을"
"US000003","BC0000095",5,"찰리와 초콜릿 공장"
"US000003","BC0000097",4,"눈먼 자들의 도시"
"US000003","BC0000098",3,"멋진 징조들"
"US000003","BC0000099",4,"바깥은 여름"
"US000003","BC0000100",5,"자기만의 방"
"US000003","BC0000101",5,"꿀벌과 천둥"
"US000003","BC0000104",3,"이토 준지의 고양이일기 욘&무"
